filename,lines_of_code,number_of_commits,number_of_authors,filetype,date_of_first_commit,date_of_last_commit
./tests/node/template-compiler-test.js,40,3,2,js,2014-12-23,2014-12-18
./tests/node/runtime-test.js,38,1,1,js,2014-12-16,2014-12-16
./tests/node/app-boot-test.js,198,5,4,js,2014-12-16,2015-01-30
./Brocfile.js,15,67,20,js,2014-04-16,2014-12-24
./lib/packages.js,18,20,7,js,2014-04-16,2015-02-01
./lib/jscs-rules/disallow-space-inside-round-braces-in-call-expression.js,76,1,1,js,2015-01-02,2015-01-02
./lib/jscs-rules/disallow-space-before-semicolon.js,29,1,1,js,2014-12-30,2014-12-30
./lib/jscs-rules/require-spaces-after-closing-parenthesis-in-function-declaration.js,79,1,1,js,2015-01-01,2015-01-01
./lib/jscs-rules/disallow-multiple-var-decl-with-assignment.js,39,1,1,js,2014-08-11,2014-08-11
./lib/run-in-sequence.js,13,1,1,js,2014-06-27,2014-06-27
./server/index.js,5,3,2,js,2014-07-06,2014-09-29
./generators/license.js,9,10,6,js,2011-05-20,2015-01-11
./bin/run-node-tests.js,22,1,1,js,2014-12-16,2014-12-16
./bin/publish_to_s3.js,21,4,2,js,2014-06-25,2014-12-17
./bin/run-tests.js,153,11,4,js,2014-04-16,2014-12-16
./packages/container/tests/registry_test.js,347,9,4,js,2014-12-16,2015-02-02
./packages/container/tests/container_helper.js,69,6,4,js,2014-01-26,2014-07-14
./packages/container/tests/container_test.js,525,46,18,js,2012-12-16,2015-02-02
./packages/container/lib/container.js,373,37,13,js,2014-05-20,2015-02-02
./packages/container/lib/registry.js,754,13,3,js,2014-12-16,2015-01-30
./packages/container/lib/main.js,22,52,16,js,2012-12-16,2014-12-16
./packages/ember-views/tests/views/collection_test.js,752,37,20,js,2011-12-12,2015-02-02
./packages/ember-views/tests/views/text_field_test.js,564,6,5,js,2014-11-15,2015-02-02
./packages/ember-views/tests/views/simple_bound_view_test.js,36,7,6,js,2014-11-17,2015-02-02
./packages/ember-views/tests/views/container_view_test.js,791,62,22,js,2011-12-12,2015-02-02
./packages/ember-views/tests/views/text_area_test.js,227,4,2,js,2014-11-15,2015-02-02
./packages/ember-views/tests/views/metamorph_view_test.js,240,11,5,js,2014-11-10,2015-02-02
./packages/ember-views/tests/views/view/virtual_views_test.js,97,10,6,js,2011-12-12,2015-02-02
./packages/ember-views/tests/views/view/element_test.js,65,22,10,js,2011-12-12,2015-02-02
./packages/ember-views/tests/views/view/context_test.js,43,9,6,js,2012-07-12,2015-02-02
./packages/ember-views/tests/views/view/layout_test.js,132,20,12,js,2012-02-17,2015-02-02
./packages/ember-views/tests/views/view/render_test.js,244,27,14,js,2011-12-12,2015-02-02
./packages/ember-views/tests/views/view/template_test.js,257,30,14,js,2011-12-12,2015-02-02
./packages/ember-views/tests/views/view/jquery_test.js,59,13,8,js,2011-12-12,2015-02-02
./packages/ember-views/tests/views/view/create_element_test.js,140,18,11,js,2011-12-12,2015-02-02
./packages/ember-views/tests/views/view/nested_view_ordering_test.js,45,10,4,js,2014-09-26,2015-02-02
./packages/ember-views/tests/views/view/init_test.js,83,25,12,js,2011-12-12,2015-02-02
./packages/ember-views/tests/views/view/stream_test.js,75,3,2,js,2014-11-27,2015-02-02
./packages/ember-views/tests/views/view/replace_in_test.js,106,14,9,js,2011-09-15,2015-02-02
./packages/ember-views/tests/views/view/transition_to_deprecation_test.js,31,4,4,js,2014-06-27,2015-02-02
./packages/ember-views/tests/views/view/is_visible_test.js,221,14,11,js,2012-01-03,2015-02-02
./packages/ember-views/tests/views/view/inject_test.js,24,6,3,js,2014-07-14,2015-02-02
